episode,seed,model_name,policy_type,level,total_reward,grid_coverage_percent,events_detected,events_missed,high_priority_miss_rate,on_time_detection_rate,path_efficiency,fallback_rate,coordinator_decision_source,coordinator_fallback_count,target_assignment_count,last_llm_diagnosis
1,42,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-141.0,82.0,1,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
2,43,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-29.0,81.0,2,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
3,44,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,182.5,70.0,5,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
4,45,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-167.0,81.0,1,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
5,46,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,1.0,87.0,6,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
6,47,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,101.0,95.0,8,2,0.3333333333333333,0.875,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
7,48,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,29.5,74.0,3,8,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
8,49,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-81.5,78.0,4,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
9,50,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,343.0,95.0,13,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
10,51,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,126.5,90.0,5,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
11,52,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,24.0,86.0,5,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
12,53,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-132.5,81.0,4,8,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
13,54,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,71.0,80.0,6,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
14,55,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,54.5,99.0,7,2,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
15,56,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,29.0,78.0,2,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
16,57,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,86.5,80.0,7,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
17,58,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,291.0,86.0,8,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
18,59,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,105.5,92.0,7,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
19,60,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,28.0,71.0,7,2,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
20,61,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-46.5,82.0,4,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
21,62,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-162.5,85.0,3,7,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
22,63,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,105.5,92.0,8,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
23,64,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-103.5,95.0,3,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
24,65,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,6.5,74.0,3,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
