episode,coordinator_decision_source,decision_source_code,coordinator_fallback_count,target_assignment_count,fallback_rate,last_llm_diagnosis
1,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
2,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
3,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
4,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
5,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
6,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
7,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
8,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
9,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
10,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
11,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
12,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
13,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
14,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
15,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
16,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
17,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
18,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
19,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
20,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
21,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
22,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
23,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
24,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
25,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
26,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
27,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
28,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
29,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
30,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
31,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
32,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
33,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
34,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
35,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
36,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
37,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
38,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
39,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
40,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
41,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
42,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
43,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
44,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
45,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
46,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
47,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
48,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
49,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
50,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
51,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
