episode,events_detected,events_missed
1,1,5
2,2,6
3,5,1
4,1,5
5,6,5
6,8,2
7,3,8
8,4,5
9,13,4
10,5,1
11,5,4
12,4,8
13,6,7
14,7,2
15,2,2
16,7,6
17,8,1
18,7,4
19,7,2
20,4,3
21,3,7
22,8,3
23,3,3
24,3,5
25,5,3
26,5,6
27,1,7
28,4,7
29,6,5
30,6,5
31,9,5
32,6,5
33,1,5
34,2,4
35,7,4
36,5,6
37,2,2
38,7,8
39,4,2
40,5,7
41,4,6
42,4,3
43,2,0
44,1,4
45,5,1
46,7,3
47,8,2
48,6,5
49,6,4
50,4,4
51,8,1
52,5,7
53,4,4
54,1,5
55,7,3
56,3,6
57,5,4
58,1,2
59,2,7
60,2,4
61,3,4
62,7,6
63,6,0
64,2,4
65,7,2
66,6,3
67,6,5
68,6,5
69,2,4
70,8,4
71,5,7
72,7,2
73,10,5
74,6,3
75,3,3
76,6,4
77,5,4
78,4,5
79,11,2
80,6,5
81,7,3
82,5,2
83,4,5
84,5,4
85,6,4
86,1,3
87,7,9
88,5,7
89,7,8
90,4,3
91,2,5
92,4,3
93,7,5
94,2,3
95,6,2
96,5,7
97,6,6
98,4,4
99,8,1
100,5,6
101,5,3
102,5,2
103,7,3
104,4,4
105,12,3
106,9,1
107,5,5
108,8,3
109,2,4
110,7,4
111,9,3
112,3,5
113,6,2
114,3,6
115,6,3
116,7,6
117,5,2
118,6,3
119,4,4
120,6,2
121,3,4
122,3,1
123,3,3
124,4,7
125,5,5
126,5,2
127,7,1
128,4,3
129,6,1
130,1,3
131,3,4
132,1,2
133,4,3
134,7,3
135,8,3
136,9,6
137,3,2
138,5,11
139,13,1
140,3,6
141,6,3
142,5,4
143,7,5
144,3,2
145,3,4
146,4,4
147,4,2
148,7,8
149,3,6
150,7,1
151,9,2
152,3,4
153,4,3
154,8,3
155,2,7
156,1,9
157,8,5
158,6,2
159,4,6
160,10,4
161,4,4
162,1,6
163,4,3
164,2,5
165,6,3
166,2,3
167,4,4
168,4,4
169,5,5
170,3,5
171,6,2
172,2,1
173,5,5
174,1,5
175,6,5
176,5,4
177,5,2
178,2,7
179,1,3
180,1,8
181,6,4
182,5,5
183,4,9
184,6,6
185,2,5
186,3,4
187,4,3
188,4,5
189,9,6
190,3,2
191,4,6
192,4,3
193,7,3
194,8,4
195,2,5
196,1,5
197,4,2
198,8,5
199,4,5
200,6,3
201,4,4
202,7,4
203,8,3
204,4,4
205,6,6
206,7,2
207,4,3
208,7,5
209,4,5
210,8,5
211,5,4
212,9,2
213,9,3
214,7,0
215,6,5
216,1,9
217,7,7
218,6,4
219,7,4
220,8,2
221,5,3
222,5,8
223,6,2
224,5,2
225,9,2
226,7,5
227,4,2
228,4,5
229,6,3
230,7,7
231,2,2
232,2,1
233,9,2
234,8,4
235,7,5
236,9,3
237,8,3
238,5,6
239,5,3
240,6,6
241,5,5
242,5,10
243,4,3
244,5,8
245,5,5
246,6,5
247,9,7
248,5,3
249,4,3
250,7,5
251,5,2
252,4,3
253,7,2
254,4,4
255,8,7
256,8,4
257,4,7
258,5,7
259,9,3
260,4,7
261,2,7
262,5,3
263,7,7
264,6,2
265,6,5
266,7,6
267,8,5
268,4,3
269,4,3
270,7,3
271,5,4
272,5,4
273,11,4
274,2,9
275,2,4
276,4,3
277,7,4
278,2,7
279,5,5
280,7,3
281,8,1
282,7,2
283,4,4
284,5,4
285,4,6
286,3,3
287,3,3
288,5,3
289,4,6
290,5,3
291,1,6
292,3,3
293,1,5
294,9,4
295,4,4
296,4,7
297,5,2
298,6,4
299,6,3
300,6,4
301,6,2
302,10,8
303,4,5
304,7,7
305,4,3
306,5,7
307,6,1
308,5,1
309,10,5
310,8,3
311,1,5
312,9,4
313,4,1
314,8,5
315,4,6
316,3,6
317,5,2
318,6,4
319,2,4
320,3,6
321,8,5
322,7,1
323,8,7
324,6,3
325,4,2
326,3,5
327,10,1
328,6,5
329,7,3
330,8,5
331,6,2
332,5,2
333,2,4
334,2,4
335,5,4
336,8,2
337,5,5
338,2,3
339,3,4
340,7,9
341,5,2
342,3,6
343,2,5
344,4,4
345,6,5
346,6,2
347,7,4
348,6,5
349,6,3
350,4,3
351,3,3
352,6,6
353,4,4
354,3,4
355,4,3
356,2,7
357,6,3
358,6,3
359,6,6
360,9,5
361,5,3
362,3,0
363,10,2
364,5,4
365,2,4
366,3,2
367,9,5
368,5,1
369,3,2
370,3,4
371,9,3
372,4,2
373,6,5
374,5,3
375,1,9
376,3,6
377,3,3
378,6,3
379,5,2
380,2,5
381,4,2
382,5,1
383,6,4
384,8,3
385,10,2
386,9,4
387,4,3
388,8,6
389,9,2
390,5,5
391,5,4
392,4,1
393,10,1
394,3,6
395,5,4
396,4,3
397,3,5
398,3,6
399,8,3
400,6,3
