episode,grid_coverage_percent
1,82.0
2,81.0
3,70.0
4,81.0
5,87.0
6,95.0
7,74.0
8,78.0
9,95.0
10,90.0
11,86.0
12,81.0
13,80.0
14,99.0
15,78.0
16,80.0
17,86.0
18,92.0
19,71.0
20,82.0
21,85.0
22,92.0
23,95.0
24,74.0
25,100.0
26,78.0
27,83.0
28,78.0
29,87.0
30,78.0
31,95.0
32,80.0
33,89.0
34,78.0
35,95.0
36,91.0
37,96.0
38,76.0
39,96.0
40,69.0
41,99.0
42,77.0
43,90.0
44,72.0
45,91.0
46,99.0
47,80.0
48,95.0
49,89.0
50,92.0
51,80.0
52,96.0
53,75.0
54,98.0
55,92.0
56,82.0
57,100.0
58,81.0
59,97.0
60,83.0
61,81.0
62,74.0
63,98.0
64,96.0
65,87.0
66,83.0
67,96.0
68,90.0
69,86.0
70,71.0
71,66.0
72,68.0
73,79.0
74,89.0
75,72.0
76,82.0
77,99.0
78,89.0
79,86.0
80,81.0
81,94.0
82,84.0
83,88.0
84,89.0
85,90.0
86,70.0
87,88.0
88,74.0
89,79.0
90,88.0
91,95.0
92,92.0
93,92.0
94,71.0
95,69.0
96,92.0
97,85.0
98,83.0
99,87.0
100,99.0
101,63.0
102,88.0
103,88.0
104,85.0
105,97.0
106,91.0
107,88.0
108,73.0
109,88.0
110,87.0
111,72.0
112,96.0
113,87.0
114,82.0
115,69.0
116,80.0
117,94.0
118,97.0
119,83.0
120,87.0
121,70.0
122,83.0
123,76.0
124,79.0
125,92.0
126,77.0
127,51.0
128,84.0
129,90.0
130,80.0
131,90.0
132,74.0
133,87.0
134,87.0
135,73.0
136,76.0
137,85.0
138,87.0
139,87.0
140,92.0
141,79.0
142,92.0
143,81.0
144,75.0
145,85.0
146,78.0
147,69.0
148,71.0
149,73.0
150,99.0
151,92.0
152,75.0
153,99.0
154,62.0
155,88.0
156,89.0
157,99.0
158,92.0
159,92.0
160,89.0
161,81.0
162,90.0
163,87.0
164,80.0
165,81.0
166,79.0
167,99.0
168,82.0
169,89.0
170,77.0
171,77.0
172,89.0
173,75.0
174,77.0
175,97.0
176,89.0
177,86.0
178,73.0
179,81.0
180,77.0
181,94.0
182,90.0
183,85.0
184,91.0
185,88.0
186,81.0
187,82.0
188,100.0
189,77.0
190,100.0
191,82.0
192,87.0
193,91.0
194,76.0
195,76.0
196,79.0
197,95.0
198,78.0
199,89.0
200,87.0
201,86.0
202,86.0
203,74.0
204,82.0
205,82.0
206,95.0
207,94.0
208,91.0
209,79.0
210,90.0
211,90.0
212,80.0
213,81.0
214,84.0
215,91.0
216,92.0
217,82.0
218,83.0
219,92.0
220,81.0
221,89.0
222,79.0
223,74.0
224,79.0
225,85.0
226,81.0
227,88.0
228,74.0
229,83.0
230,90.0
231,79.0
232,87.0
233,89.0
234,99.0
235,93.0
236,77.0
237,84.0
238,80.0
239,88.0
240,88.0
241,87.0
242,85.0
243,84.0
244,67.0
245,95.0
246,100.0
247,85.0
248,90.0
249,72.0
250,78.0
251,90.0
252,93.0
253,84.0
254,56.00000000000001
255,86.0
256,70.0
257,81.0
258,93.0
259,87.0
260,77.0
261,89.0
262,66.0
263,90.0
264,89.0
265,77.0
266,86.0
267,87.0
268,64.0
269,91.0
270,87.0
271,80.0
272,89.0
273,88.0
274,97.0
275,71.0
276,68.0
277,86.0
278,83.0
279,95.0
280,95.0
281,79.0
282,87.0
283,85.0
284,78.0
285,60.0
286,82.0
287,88.0
288,71.0
289,87.0
290,74.0
291,82.0
292,94.0
293,82.0
294,80.0
295,73.0
296,63.0
297,94.0
298,76.0
299,88.0
300,88.0
301,84.0
302,85.0
303,88.0
304,87.0
305,79.0
306,83.0
307,77.0
308,82.0
309,91.0
310,89.0
311,82.0
312,75.0
313,85.0
314,89.0
315,75.0
316,71.0
317,87.0
318,87.0
319,87.0
320,78.0
321,86.0
322,96.0
323,89.0
324,89.0
325,87.0
326,92.0
327,77.0
328,92.0
329,99.0
330,85.0
331,95.0
332,89.0
333,82.0
334,94.0
335,85.0
336,76.0
337,72.0
338,89.0
339,71.0
340,87.0
341,69.0
342,75.0
343,90.0
344,83.0
345,73.0
346,75.0
347,85.0
348,69.0
349,94.0
350,89.0
351,83.0
352,76.0
353,78.0
354,69.0
355,80.0
356,84.0
357,96.0
358,92.0
359,88.0
360,85.0
361,95.0
362,90.0
363,75.0
364,87.0
365,46.0
366,53.0
367,80.0
368,75.0
369,79.0
370,76.0
371,98.0
372,74.0
373,83.0
374,84.0
375,74.0
376,87.0
377,89.0
378,96.0
379,90.0
380,70.0
381,86.0
382,88.0
383,87.0
384,67.0
385,79.0
386,93.0
387,83.0
388,72.0
389,89.0
390,77.0
391,89.0
392,83.0
393,79.0
394,91.0
395,75.0
396,95.0
397,91.0
398,89.0
399,86.0
400,87.0
