episode,high_priority_miss_rate
1,1.0
2,0.0
3,0.0
4,1.0
5,0.5
6,0.3333333333333333
7,0.0
8,0.5
9,0.0
10,0.0
11,0.0
12,1.0
13,0.0
14,1.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1.0
20,1.0
21,1.0
22,0.5
23,1.0
24,0.0
25,0.0
26,0.6666666666666666
27,0.0
28,1.0
29,0.0
30,1.0
31,0.0
32,0.0
33,1.0
34,1.0
35,0.0
36,0.0
37,0.0
38,0.3333333333333333
39,0.0
40,0.6666666666666666
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,1.0
49,0.0
50,1.0
51,0.0
52,0.5
53,0.0
54,1.0
55,0.25
56,0.5
57,0.0
58,0.0
59,0.6666666666666666
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,1.0
70,0.0
71,0.0
72,0.0
73,0.5
74,0.0
75,0.0
76,0.5
77,0.0
78,0.0
79,0.0
80,0.0
81,1.0
82,0.0
83,0.5
84,0.0
85,0.0
86,1.0
87,1.0
88,0.5
89,0.3333333333333333
90,0.0
91,1.0
92,0.0
93,0.5
94,1.0
95,0.5
96,0.0
97,0.0
98,0.3333333333333333
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,1.0
105,0.0
106,0.0
107,0.0
108,0.0
109,1.0
110,0.0
111,0.0
112,0.3333333333333333
113,0.0
114,0.0
115,0.3333333333333333
116,1.0
117,0.0
118,0.0
119,1.0
120,0.0
121,0.0
122,1.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.6666666666666666
129,0.0
130,0.0
131,0.0
132,0.0
133,0.5
134,0.0
135,0.5
136,0.0
137,0.0
138,1.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.5
144,0.0
145,0.6666666666666666
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,1.0
154,0.5
155,0.0
156,0.0
157,0.0
158,0.0
159,0.3333333333333333
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,1.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.5
174,0.0
175,0.0
176,0.5
177,0.0
178,1.0
179,0.0
180,0.5
181,0.5
182,0.6666666666666666
183,1.0
184,1.0
185,1.0
186,0.5
187,0.5
188,0.0
189,0.0
190,0.5
191,0.0
192,0.0
193,0.3333333333333333
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.5
200,0.0
201,0.0
202,0.6666666666666666
203,0.0
204,0.0
205,0.5
206,0.0
207,0.0
208,1.0
209,0.5
210,1.0
211,1.0
212,1.0
213,0.0
214,0.0
215,1.0
216,0.0
217,0.5
218,0.0
219,0.0
220,1.0
221,1.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,1.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,1.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,1.0
251,0.0
252,1.0
253,0.0
254,0.0
255,1.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,1.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.5
271,0.0
272,1.0
273,0.5
274,1.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.5
285,1.0
286,0.0
287,0.0
288,0.0
289,0.5
290,1.0
291,0.0
292,1.0
293,0.0
294,1.0
295,0.0
296,1.0
297,1.0
298,1.0
299,0.5
300,0.0
301,0.0
302,0.0
303,1.0
304,0.0
305,0.0
306,0.5
307,0.0
308,1.0
309,0.3333333333333333
310,1.0
311,0.0
312,0.25
313,0.0
314,1.0
315,0.0
316,0.0
317,0.0
318,1.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.5
324,0.6666666666666666
325,0.0
326,0.5
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.25
337,0.0
338,0.0
339,1.0
340,0.0
341,0.0
342,0.0
343,1.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,1.0
356,1.0
357,0.5
358,0.0
359,0.0
360,0.3333333333333333
361,0.0
362,0.0
363,0.0
364,0.0
365,1.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.3333333333333333
372,0.0
373,0.5
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,1.0
380,1.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,1.0
399,0.0
400,0.0
