episode,time_penalty,detection_reward,miss_penalty,overlap_penalty,coverage_reward,episode_bonus
1,-50.0,30.0,-115.0,0.0,24.0,-30.0
2,-50.0,60.0,-75.0,-12.0,28.0,20.0
3,-50.0,172.0,-25.0,-5.0,20.5,70.0
4,-50.0,30.0,-115.0,-29.0,27.0,-30.0
5,-50.0,198.0,-145.0,0.0,28.0,-30.0
6,-50.0,246.0,-85.0,-11.0,31.0,-30.0
7,-50.0,108.0,-95.0,-24.0,20.5,70.0
8,-50.0,138.0,-145.0,-23.0,28.5,-30.0
9,-50.0,376.0,-55.0,-33.0,35.0,70.0
10,-50.0,154.0,-25.0,-2.0,29.5,20.0
11,-50.0,148.0,-55.0,-67.0,28.0,20.0
12,-50.0,124.0,-190.0,-11.0,24.5,-30.0
13,-50.0,182.0,-85.0,-21.0,25.0,20.0
14,-50.0,206.0,-70.0,-37.0,35.5,-30.0
15,-50.0,54.0,-20.0,0.0,25.0,20.0
16,-50.0,212.0,-120.0,0.0,24.5,20.0
17,-50.0,260.0,-10.0,-5.0,26.0,70.0
18,-50.0,200.0,-55.0,-38.0,28.5,20.0
19,-50.0,194.0,-85.0,-23.0,22.0,-30.0
20,-50.0,124.0,-110.0,-4.0,23.5,-30.0
21,-50.0,94.0,-185.0,-20.0,28.5,-30.0
22,-50.0,258.0,-95.0,-10.0,32.5,-30.0
23,-50.0,94.0,-145.0,-5.0,32.5,-30.0
24,-50.0,90.0,-65.0,-10.0,21.5,20.0
25,-50.0,166.0,-60.0,-15.0,36.0,70.0
26,-50.0,162.0,-175.0,-17.0,21.0,-30.0
27,-50.0,30.0,-85.0,-14.0,26.0,20.0
28,-50.0,120.0,-150.0,-2.0,23.0,-30.0
29,-50.0,184.0,-65.0,-31.0,25.5,20.0
30,-50.0,170.0,-180.0,-8.0,23.5,-30.0
31,-50.0,296.0,-95.0,-9.0,32.5,70.0
32,-50.0,162.0,-50.0,-29.0,27.0,20.0
33,-50.0,30.0,-115.0,-21.0,26.5,-30.0
34,-50.0,62.0,-90.0,-16.0,22.0,-30.0
35,-50.0,208.0,-55.0,-36.0,36.0,20.0
36,-50.0,148.0,-75.0,-7.0,29.0,20.0
37,-50.0,62.0,-35.0,-24.0,33.0,20.0
38,-50.0,246.0,-145.0,0.0,27.0,-30.0
39,-50.0,124.0,-50.0,-12.0,36.0,20.0
40,-50.0,166.0,-170.0,-22.0,23.0,-30.0
41,-50.0,118.0,-90.0,-11.0,38.0,20.0
42,-50.0,124.0,-45.0,-4.0,21.0,20.0
43,-50.0,62.0,0.0,-67.0,32.0,20.0
44,-50.0,32.0,-55.0,-2.0,21.0,20.0
45,-50.0,184.0,-10.0,-30.0,29.5,70.0
46,-50.0,224.0,-45.0,-49.0,32.5,70.0
47,-50.0,250.0,-20.0,-4.0,23.5,70.0
48,-50.0,184.0,-115.0,-38.0,33.0,-30.0
49,-50.0,202.0,-85.0,-52.0,29.0,70.0
50,-50.0,124.0,-105.0,-22.0,31.5,-30.0
51,-50.0,248.0,-10.0,0.0,25.0,20.0
52,-50.0,132.0,-150.0,-11.0,32.0,-30.0
53,-50.0,138.0,-55.0,-3.0,22.0,70.0
54,-50.0,28.0,-115.0,-17.0,34.0,-30.0
55,-50.0,226.0,-95.0,-37.0,33.5,-30.0
56,-50.0,108.0,-140.0,-21.0,26.0,-30.0
57,-50.0,158.0,-55.0,-4.0,35.0,70.0
58,-50.0,30.0,-20.0,-53.0,26.0,20.0
59,-50.0,74.0,-200.0,-19.0,33.0,-30.0
60,-50.0,64.0,-55.0,-11.0,26.0,20.0
61,-50.0,92.0,-55.0,0.0,22.0,20.0
62,-50.0,218.0,-90.0,-52.0,21.5,20.0
63,-50.0,194.0,0.0,-13.0,30.0,70.0
64,-50.0,60.0,-55.0,-2.0,34.0,20.0
65,-50.0,230.0,-35.0,-12.0,30.5,70.0
66,-50.0,198.0,-30.0,-11.0,28.5,70.0
67,-50.0,212.0,-80.0,-5.0,34.0,70.0
68,-50.0,196.0,-80.0,-43.0,32.0,20.0
69,-50.0,64.0,-120.0,-9.0,25.5,-30.0
70,-50.0,244.0,-55.0,0.0,18.5,20.0
71,-50.0,156.0,-130.0,-4.0,19.0,20.0
72,-50.0,244.0,-35.0,-10.0,23.5,70.0
73,-50.0,316.0,-100.0,-20.0,24.5,-30.0
74,-50.0,182.0,-30.0,-66.0,29.0,20.0
75,-50.0,106.0,-30.0,-8.0,20.5,20.0
76,-50.0,202.0,-90.0,-15.0,26.0,-30.0
77,-50.0,146.0,-70.0,-3.0,35.0,20.0
78,-50.0,140.0,-110.0,-41.0,34.0,70.0
79,-50.0,332.0,-50.0,-1.0,26.0,70.0
80,-50.0,184.0,-80.0,-7.0,25.0,20.0
81,-50.0,206.0,-110.0,-26.0,29.5,-30.0
82,-50.0,152.0,-20.0,-13.0,28.5,20.0
83,-50.0,138.0,-115.0,-72.0,35.0,-30.0
84,-50.0,130.0,-40.0,-29.0,28.0,20.0
85,-50.0,170.0,-85.0,-6.0,34.0,20.0
86,-50.0,30.0,-95.0,-11.0,23.0,-30.0
87,-50.0,210.0,-185.0,-34.0,32.0,-30.0
88,-50.0,132.0,-165.0,-16.0,18.5,-30.0
89,-50.0,234.0,-130.0,-36.0,26.5,-30.0
90,-50.0,124.0,-60.0,-54.0,30.5,20.0
91,-50.0,64.0,-130.0,-49.0,34.5,-30.0
92,-50.0,124.0,-60.0,-41.0,32.0,20.0
93,-50.0,214.0,-115.0,-37.0,35.0,-30.0
94,-50.0,64.0,-80.0,-1.0,18.5,-30.0
95,-50.0,194.0,-70.0,-56.0,21.5,-30.0
96,-50.0,150.0,-70.0,-11.0,27.5,20.0
97,-50.0,176.0,-120.0,-26.0,27.5,20.0
98,-50.0,154.0,-90.0,-17.0,23.5,-30.0
