episode,total_reward
1,-141.0
2,-29.0
3,182.5
4,-167.0
5,1.0
6,101.0
7,29.5
8,-81.5
9,343.0
10,126.5
11,24.0
12,-132.5
13,71.0
14,54.5
15,29.0
16,86.5
17,291.0
18,105.5
19,28.0
20,-46.5
21,-162.5
22,105.5
23,-103.5
24,6.5
25,147.0
26,-89.0
27,-73.0
28,-89.0
29,83.5
30,-74.5
31,244.5
32,80.0
33,-159.5
34,-102.0
35,123.0
36,65.0
37,6.0
38,48.0
39,68.0
40,-83.0
41,25.0
42,66.0
43,-3.0
44,-34.0
45,193.5
46,182.5
47,269.5
48,-16.0
49,114.0
50,-51.5
51,233.0
52,-77.0
53,122.0
54,-150.0
55,47.5
56,-107.0
57,154.0
58,-47.0
59,-192.0
60,-6.0
61,29.0
62,67.5
63,231.0
64,7.0
65,233.5
66,205.5
67,181.0
68,75.0
69,-119.5
70,177.5
71,11.0
72,242.5
73,140.5
74,85.0
75,58.5
76,43.0
77,78.0
78,43.0
79,327.0
80,92.0
81,19.5
82,117.5
83,-94.0
84,59.0
85,83.0
86,-133.0
87,-57.0
88,-110.5
89,14.5
90,10.5
91,-160.5
92,25.0
93,17.0
94,-78.5
95,9.5
96,66.5
97,27.5
98,-9.5
99,294.0
100,117.5
101,177.0
102,113.0
103,208.5
104,-45.5
105,360.0
106,281.5
107,140.0
108,238.0
109,-115.0
110,215.5
111,170.0
112,-79.0
113,237.5
114,43.5
115,-8.0
116,-16.5
117,55.5
118,121.5
119,-58.5
120,107.0
121,104.0
122,-24.0
123,-53.5
124,-2.5
125,71.0
126,140.5
127,172.5
128,-94.5
129,105.0
130,-11.0
131,3.0
132,-6.0
133,-72.5
134,101.0
135,101.0
136,140.5
137,28.0
138,-275.5
139,447.5
140,51.5
141,179.5
142,72.5
143,62.5
144,18.5
145,-114.5
146,39.5
147,133.5
148,88.5
149,13.5
150,252.5
151,206.0
152,0.5
153,-32.0
154,74.0
155,-59.0
156,-116.0
157,159.5
158,213.0
159,-67.0
160,221.0
161,75.0
162,-91.0
163,12.0
164,-20.5
165,107.0
166,22.0
167,-38.0
168,98.5
169,58.0
170,-37.0
171,136.0
172,40.5
173,-63.5
174,-100.5
175,92.5
176,-52.0
177,167.0
178,-165.0
179,-51.5
180,-186.0
181,33.5
182,-56.5
183,-125.5
184,-80.5
185,-135.5
186,-83.5
187,-31.5
188,50.5
189,186.0
190,-24.0
191,19.5
192,26.0
193,94.5
194,207.0
195,42.5
196,-74.5
197,83.0
198,239.0
199,-55.0
200,123.5
201,47.0
202,1.0
203,181.0
204,21.0
205,16.0
206,224.0
207,95.0
208,-1.0
209,-62.0
210,-28.0
211,-1.5
212,126.0
213,271.5
214,260.5
215,-6.0
216,-167.0
217,7.0
218,167.5
219,94.0
220,109.5
221,-31.0
222,39.0
223,104.0
224,116.0
225,294.0
226,128.5
227,49.5
228,-9.5
229,26.0
230,115.0
231,3.0
232,31.5
233,272.5
234,149.5
235,127.5
236,175.0
237,244.0
238,68.5
239,-10.0
240,84.0
241,90.5
242,53.5
243,125.0
244,88.0
245,120.0
246,54.0
247,223.5
248,193.5
249,139.5
250,11.5
251,52.0
252,-29.0
253,180.0
254,40.0
255,30.5
256,251.0
257,78.5
258,85.0
259,199.5
260,81.0
261,-234.0
262,161.5
263,99.5
264,135.0
265,79.0
266,72.0
267,172.0
268,43.5
269,62.5
270,54.5
271,137.0
272,-14.0
273,155.0
274,-292.0
275,-5.5
276,50.5
277,137.5
278,-77.0
279,133.5
280,194.5
281,167.5
282,256.5
283,21.0
284,-14.5
285,-77.0
286,12.5
287,43.5
288,67.5
289,-134.0
290,-23.0
291,-88.5
292,-62.5
293,-123.0
294,61.5
295,59.5
296,-129.0
297,13.5
298,-52.0
299,31.0
300,107.5
301,130.5
302,271.5
303,-45.5
304,86.0
305,67.5
306,-61.0
307,150.5
308,14.0
309,148.5
310,32.5
311,-64.5
312,137.0
313,158.5
314,0.5
315,10.0
316,-44.0
317,52.0
318,-13.5
319,22.5
320,24.0
321,207.5
322,229.0
323,-4.0
324,3.5
325,140.5
326,-121.5
327,327.5
328,85.5
329,107.5
330,192.0
331,194.0
332,155.5
333,-55.0
334,-12.0
335,143.5
336,88.0
337,52.0
338,-38.0
339,-121.5
340,2.5
341,120.5
342,44.5
343,-109.0
344,3.0
345,89.0
346,136.0
347,123.0
348,136.0
349,69.5
350,109.0
351,27.5
352,129.0
353,50.5
354,88.5
355,-81.5
356,-153.5
357,-24.0
358,88.5
359,79.0
360,108.5
361,84.5
362,62.5
363,206.5
364,48.5
365,-139.0
366,52.0
367,224.0
368,188.5
369,59.0
370,-34.5
371,149.0
372,168.0
373,-15.0
374,163.0
375,-127.5
376,77.5
377,42.0
378,118.5
379,-15.0
380,-123.5
381,108.0
382,141.5
383,194.0
384,144.0
385,278.0
386,187.0
387,35.0
388,223.0
389,270.0
390,38.5
391,56.5
392,92.0
393,233.0
394,-17.5
395,31.0
396,94.0
397,32.5
398,-85.5
399,184.5
400,107.0
